AeroDyn airfoil file Created with QBlade CE v2.0.8.3_beta windows on 25.02.2025 at 15:52:59 Compatible with AeroDyn v13.0.
Polar "FX_77-W-121_Re0.012_M0.02_N9.0 360 M" on Foil "FX 77-W-121" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
0.00           Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
0.00000        Cn slope for zero lift for linear Cn curve (1/rad)
0.0000         Cn at stall value for positive angle of attack for linear Cn curve
0.0000         Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0000         Minimum CD value
  -180.000  0.044164  0.006000  0.012583
  -179.000  0.182422  0.006521  0.051980
  -178.000  0.320680  0.008082  0.091319
  -177.000  0.458709  0.010679  0.130517
  -176.000  0.591696  0.014306  0.168186
  -175.000  0.701086  0.018957  0.199059
  -174.000  0.757541  0.024625  0.214864
  -173.000  0.748360  0.031300  0.212114
  -172.000  0.697181  0.038971  0.197607
  -171.000  0.639942  0.047629  0.181541
  -170.000  0.596998  0.057259  0.169651
  -169.000  0.572445  0.067849  0.163058
  -168.000  0.563373  0.079384  0.160919
  -167.000  0.565621  0.091847  0.162048
  -166.000  0.575690  0.105222  0.165455
  -165.000  0.591033  0.119490  0.170420
  -164.000  0.609874  0.134632  0.176446
  -163.000  0.630990  0.150629  0.183192
  -162.000  0.653531  0.167458  0.190423
  -161.000  0.676892  0.185099  0.197973
  -160.000  0.700640  0.203527  0.205725
  -159.000  0.724449  0.222720  0.213592
  -158.000  0.748077  0.242651  0.221510
  -157.000  0.771331  0.263297  0.229431
  -156.000  0.794059  0.284629  0.237316
  -155.000  0.816139  0.306622  0.245136
  -154.000  0.837465  0.329246  0.252867
  -153.000  0.857950  0.352475  0.260488
  -152.000  0.877520  0.376277  0.267984
  -151.000  0.896107  0.400624  0.275340
  -150.000  0.913654  0.425484  0.282546
  -149.000  0.930108  0.450828  0.289591
  -148.000  0.945424  0.476622  0.296469
  -147.000  0.959559  0.502836  0.303171
  -146.000  0.972476  0.529437  0.309692
  -145.000  0.984142  0.556392  0.316028
  -144.000  0.994526  0.583668  0.322174
  -143.000  1.003602  0.611231  0.328130
  -142.000  1.011345  0.639048  0.333891
  -141.000  1.017736  0.667084  0.339458
  -140.000  1.022756  0.695305  0.344830
  -139.000  1.026391  0.723678  0.350007
  -138.000  1.028627  0.752167  0.354989
  -137.000  1.029457  0.780737  0.359780
  -136.000  1.028873  0.809355  0.364379
  -135.000  1.026870  0.837986  0.368791
  -134.000  1.023448  0.866595  0.373018
  -133.000  1.018607  0.895148  0.377063
  -132.000  1.012351  0.923611  0.380932
  -131.000  1.004686  0.951948  0.384627
  -130.000  0.995620  0.980127  0.388155
  -129.000  0.985164  1.008114  0.391520
  -128.000  0.973332  1.035874  0.394726
  -127.000  0.960138  1.063376  0.397781
  -126.000  0.945601  1.090586  0.400690
  -125.000  0.929741  1.117473  0.403459
  -124.000  0.912580  1.144003  0.406094
  -123.000  0.894142  1.170146  0.408601
  -122.000  0.874455  1.195870  0.410987
  -121.000  0.853545  1.221145  0.413258
  -120.000  0.831444  1.245942  0.415421
  -119.000  0.808184  1.270231  0.417481
  -118.000  0.783798  1.293983  0.419446
  -117.000  0.758323  1.317170  0.421320
  -116.000  0.731797  1.339766  0.423111
  -115.000  0.704257  1.361743  0.424824
  -114.000  0.675744  1.383075  0.426464
  -113.000  0.646301  1.403739  0.428038
  -112.000  0.615971  1.423708  0.429549
  -111.000  0.584797  1.442961  0.431004
  -110.000  0.552827  1.461474  0.432406
  -109.000  0.520105  1.479226  0.433759
  -108.000  0.486681  1.496196  0.435067
  -107.000  0.452093  1.512365  0.436294
  -106.000  0.417421  1.527712  0.437526
  -105.000  0.382194  1.542221  0.438723
  -104.000  0.346462  1.555875  0.439886
  -103.000  0.310276  1.568657  0.441017
  -102.000  0.273687  1.580553  0.442118
  -101.000  0.236749  1.591549  0.443190
  -100.000  0.199513  1.601632  0.444232
   -99.000  0.162032  1.610790  0.445245
   -98.000  0.124358  1.619013  0.446229
   -97.000  0.086545  1.626291  0.447183
   -96.000  0.048643  1.632616  0.448105
   -95.000  0.010707  1.637980  0.448994
   -94.000 -0.027213  1.642377  0.449847
   -93.000 -0.065064  1.645802  0.450663
   -92.000 -0.102795  1.648252  0.451438
   -91.000 -0.140356  1.649722  0.452168
   -90.000 -0.177696  1.650212  0.452852
   -89.000 -0.214765  1.649720  0.453484
   -88.000 -0.251516  1.648248  0.454060
   -87.000 -0.287899  1.645798  0.454576
   -86.000 -0.323867  1.642371  0.455027
   -85.000 -0.359375  1.637972  0.455407
   -84.000 -0.394378  1.632607  0.455713
   -83.000 -0.428829  1.626280  0.455938
   -82.000 -0.462688  1.619000  0.456077
   -81.000 -0.495912  1.610776  0.456124
   -80.000 -0.528459  1.601616  0.456073
   -79.000 -0.560291  1.591531  0.455919
   -78.000 -0.591370  1.580533  0.455656
   -77.000 -0.621658  1.568636  0.455277
   -76.000 -0.651121  1.555851  0.454778
   -75.000 -0.679724  1.542196  0.454151
   -74.000 -0.707436  1.527685  0.453392
   -73.000 -0.734224  1.512335  0.452495
   -72.000 -0.760060  1.496165  0.451454
   -71.000 -0.784915  1.479193  0.450264
   -70.000 -0.808764  1.461438  0.448919
   -69.000 -0.831582  1.442923  0.447416
   -68.000 -0.853346  1.423668  0.445749
   -67.000 -0.874034  1.403695  0.443914
   -66.000 -0.893628  1.383030  0.441906
   -65.000 -0.912108  1.361694  0.439722
   -64.000 -0.929458  1.339714  0.437359
   -63.000 -0.945665  1.317116  0.434812
   -62.000 -0.960714  1.293925  0.432080
   -61.000 -0.974595  1.270170  0.429160
   -60.000 -0.987298  1.245878  0.426050
   -59.000 -0.998816  1.221078  0.422748
   -58.000 -1.009141  1.195798  0.419254
   -57.000 -1.018270  1.170070  0.415565
   -56.000 -1.026200  1.143923  0.411682
   -55.000 -1.032929  1.117388  0.407605
   -54.000 -1.038458  1.090497  0.403334
   -53.000 -1.042790  1.063282  0.398871
   -52.000 -1.045927  1.035775  0.394216
   -51.000 -1.047875  1.008009  0.389372
   -50.000 -1.048641  0.980016  0.384340
   -49.000 -1.048233  0.951831  0.379123
   -48.000 -1.046661  0.923486  0.373724
   -47.000 -1.043938  0.895017  0.368148
   -46.000 -1.040074  0.866456  0.362396
   -45.000 -1.035086  0.837839  0.356475
   -44.000 -1.028989  0.809199  0.350389
   -43.000 -1.021800  0.780571  0.344141
   -42.000 -1.013538  0.751990  0.337739
   -41.000 -1.004224  0.723490  0.331188
